Number,Base ms,Miller ms
266,0.000041,0.000125
267,0.000084,0.000125
268,0.000041,0.000083
269,0.000125,0.043542
270,0.000042,0.000125
271,0.000125,0.043333
272,0.000083,0.000083
273,0.000084,0.000125
274,0.000041,0.000084
275,0.000084,0.000125
276,0.000041,0.000083
277,0.000125,0.043792
278,0.000083,0.000084
279,0.000083,0.000125
280,0.000042,0.000083
281,0.000125,0.039333
282,0.000083,0.000125
283,0.000125,0.044250
284,0.000083,0.000125
285,0.000083,0.000167
286,0.000042,0.000083
287,0.000167,0.000125
288,0.000042,0.000125
289,0.000083,0.000084
290,0.000042,0.000125
291,0.000083,0.000166
292,0.000083,0.000083
293,0.000125,0.105750
294,0.000250,0.000291
295,0.000166,0.000208
296,0.000084,0.000125
297,0.000125,0.000125
298,0.000125,0.000083
299,0.000250,0.000250
300,0.000125,0.000125
301,0.000125,0.000125
302,0.000084,0.000125
303,0.000167,0.000167
304,0.000125,0.000125
305,0.000125,0.000166
306,0.000125,0.000084
307,0.000292,0.069458
308,0.000042,0.000084
309,0.000125,0.000166
310,0.000125,0.000125
311,0.000250,0.080458
312,0.000083,0.000167
313,0.000208,0.072917
314,0.000084,0.000167
315,0.000083,0.000208
316,0.000167,0.000125
317,0.000125,0.068833
318,0.000083,0.000125
319,0.000167,0.000209
320,0.000125,0.000125
321,0.000167,0.000166
322,0.000125,0.000125
323,0.000208,0.000208
324,0.000125,0.000084
325,0.000125,0.000167
326,0.000125,0.000084
327,0.000125,0.000167
328,0.000125,0.000125
329,0.000084,0.000167
330,0.000083,0.000125
331,0.000292,0.077667
332,0.000083,0.000125
333,0.000125,0.000208
334,0.000042,0.000125
335,0.000083,0.000209
336,0.000083,0.000125
337,0.000167,0.065917
338,0.000125,0.000125
339,0.000125,0.000208
340,0.000041,0.000166
341,0.000125,0.000166
342,0.000083,0.000125
343,0.000083,0.000166
344,0.000083,0.000167
345,0.000084,0.000167
346,0.000125,0.000125
347,0.000083,0.069792
348,0.000125,0.000084
349,0.000125,0.072625
350,0.000083,0.000125
351,0.000083,0.000208
352,0.000083,0.000125
353,0.000042,0.070958
354,0.000083,0.000125
355,0.000084,0.000167
356,0.000084,0.000125
357,0.000125,0.000208
358,0.000125,0.000125
359,0.000125,0.068834
360,0.000083,0.000125
361,0.000083,0.000166
362,0.000125,0.000125
363,0.000166,0.000167
364,0.000166,0.000125
365,0.000041,0.000209
366,0.000125,0.000125
367,0.000167,0.172125
368,0.000083,0.000125
369,0.000125,0.000292
370,0.000125,0.000084
371,0.000083,0.000166
372,0.000125,0.000083
373,0.000166,0.072459
374,0.000083,0.000125
375,0.000125,0.000167
376,0.000083,0.000083
377,0.000083,0.000167
378,0.000125,0.000084
379,0.000083,0.068708
380,0.000125,0.000167
381,0.000125,0.000167
382,0.000083,0.000125
383,0.000084,0.075458
384,0.000083,0.000125
385,0.000084,0.000166
386,0.000084,0.000125
387,0.000125,0.000167
388,0.000125,0.000125
389,0.000125,0.066875
390,0.000125,0.000125
391,0.000084,0.000208
392,0.000083,0.000125
393,0.000125,0.000209
394,0.000125,0.000083
395,0.000083,0.000167
396,0.000125,0.000125
397,0.000125,0.071250
398,0.000083,0.000083
399,0.000125,0.000167
400,0.000125,0.000125
401,0.000083,0.072416
402,0.000083,0.000125
403,0.000375,0.001083
404,0.000084,0.000250
405,0.000042,0.000125
406,0.000042,0.000083
407,0.000208,0.000166
408,0.000084,0.079416
409,0.000209,0.071708
410,0.000042,0.000083
411,0.000083,0.000166
412,0.000042,0.000083
413,0.000084,0.000125
414,0.000042,0.000083
415,0.000125,0.000083
416,0.000041,0.000125
417,0.000125,0.000083
418,0.000042,0.000083
419,0.000167,0.056417
420,0.000042,0.000084
421,0.000083,0.057292
422,0.000292,0.000958
423,0.000125,0.000333
424,0.000042,0.000083
425,0.000125,0.000167
426,0.000125,0.000084
427,0.000125,0.000125
428,0.000125,0.000083
429,0.000125,0.000167
430,0.000125,0.000084
431,0.000250,0.070083
432,0.000042,0.000083
433,0.000167,0.054084
434,0.000084,0.000084
435,0.000125,0.000167
436,0.000125,0.000125
437,0.000125,0.000166
438,0.000042,0.000125
439,0.000084,0.062458
440,0.000083,0.000083
441,0.000125,0.000084
442,0.000084,0.000084
443,0.000167,0.053834
444,0.000084,0.000166
445,0.000083,0.000125
446,0.000125,0.000084
447,0.000125,0.000167
448,0.000125,0.000125
449,0.000125,0.059375
450,0.000084,0.000125
451,0.000125,0.000167
452,0.000125,0.000084
453,0.000083,0.000125
454,0.000041,0.000083
455,0.000083,0.000125
456,0.000125,0.000125
457,0.000167,0.060959
458,0.000083,0.000084
459,0.000125,0.000125
460,0.000083,0.000125
461,0.000125,0.053458
462,0.000125,0.000084
463,0.000125,0.060375
